,Title,Abstract
0,Forest Biosecurity in Canada – An Integrated Multi-Agency Approach,"In Canada, forest biosecurity is primarily under federal jurisdiction as the federal government is the signatory to the International Plant Protection Convention and other international trade agreements. The Canadian Food Inspection Agency (CFIA), which is Canada’s National Plant Protection Organization, has the mandate of analyzing risks, setting policy, and managing incursion responses related to forest biosecurity. Other federal government agencies play important roles; the Canada Border Services Agency (CBSA) enforces regulations at international ports of entry and the Canadian Forest Service of Natural Resources Canada conducts research and analysis in support of the development and implementation of phytosanitary regulations. The provinces and territories also manage invasive species through implementing regulations to prevent the spread of established forest pests. This paper outlines the regulatory framework for forest biosecurity within Canada, and provides case studies of species that have invaded Canadian forests or are anticipated to do so in the near future. © Copyright © 2021 Allison, Marcotte, Noseworthy and Ramsfield."
1,Complexities underlying the breeding and deployment of Dutch elm disease resistant elms,"Dutch elm disease (DED) is a vascular wilt disease caused by the pathogens Ophiostoma ulmi and Ophiostoma novo-ulmi with multiple ecological phases including pathogenic (xylem), saprotrophic (bark) and vector (beetle flight and beetle feeding wound) phases. Due to the two DED pandemics during the twentieth century the use of elms in landscape and forest restoration has declined significantly. However new initiatives for elm breeding and restoration are now underway in Europe and North America. Here we discuss complexities in the DED ‘system’ that can lead to unintended consequences during elm breeding and some of the wider options for obtaining durability or ‘field resistance’ in released material, including (1) the phenotypic plasticity of disease levels in resistant cultivars infected by O. novo-ulmi; (2) shortcomings in test methods when selecting for resistance; (3) the implications of rapid evolutionary changes in current O. novo-ulmi populations for the choice of pathogen inoculum when screening; (4) the possibility of using active resistance to the pathogen in the beetle feeding wound, and low attractiveness of elm cultivars to feeding beetles, in addition to resistance in the xylem; (5) the risk that genes from susceptible and exotic elms be introgressed into resistant cultivars; (6) risks posed by unintentional changes in the host microbiome; and (7) the biosecurity risks posed by resistant elm deployment. In addition, attention needs to be paid to the disease pressures within which resistant elms will be released. In the future, biotechnology may further enhance our understanding of the various resistance processes in elms and our potential to deploy trees with highly durable resistance in elm restoration. Hopefully the different elm resistance processes will prove to be largely under durable, additive, multigenic control. Elm breeding programmes cannot afford to get into the host–pathogen arms races that characterise some agricultural host–pathogen systems. © 2021, The Author(s)."
2,Firewood transport as a vector of forest pest dispersal in North America: A scoping review,"Native and nonnative insects and diseases can result in detrimental impacts to trees and forests, including the loss of economic resources and ecosystem services. Increases in globalization and changing human behaviors have created new anthropogenic pathways for long distance pest dispersal. In North America, literature suggests that once a forest or tree pest is established, the movement of firewood by the general public for recreational or home heating purposes is one of the primary pathways for its dispersal. Understanding human perceptions and behaviors is essential to inform the most effective strategies for modifying firewood and pest dispersal by humans. This scoping review seeks to assess trends and gaps in the existing literature, as well as patterns in behavior related to forest pest dispersal through firewood movement in North America. We identified 76 documents that addressed this topic to which we applied inclusion and exclusion criteria to select articles for further analysis. Twenty-five articles met the inclusion criteria and were categorized based on five identified themes: 1) insect incidence in firewood, 2) insect dispersal via firewood, 3) recreational firewood movement, 4) firewood treatments, and 5) behavior and rule compliance. The selected articles show trends that suggest that firewood movement presents a risk for forest insect dispersal, but that behavior can be modified, and compliance, monitoring, and treatments should be strengthened. This scoping review found limited research about western United States, Mexico, and Canada, various insect species and other organisms, regulation and management, awareness, and behavioral dimensions of firewood movement. © 2021 Oxford University Press. All rights reserved."
3,Forest pests and wood pellets: A literature review of the opportunities and risks in the United States’ northeastern forests,"As interest in alternatives to fossil fuels increases, low quality timber may become more attractive as feedstock material for biomass energy. This low-quality timber, referred to here as salvage wood, can be used to manufacture wood pellets, a densified biomass energy product which can be used for electricity and heating. The process of converting wood to pellets also results in total pest mortality in the final product, an important consideration given wood pellet's international market and global concerns about phytosanitation, or the risk of pest spread. However, there is still potential to spread pests in the wood pellet supply chain. To better understand the potential benefits for forest health and the phytosanitary risks of the use of salvaged wood in the wood pellet supply chain, our study systematically reviews the literature published between 2000 and 2018, gleaning applicable considerations for the northeastern United States (US), a region already affected by the highest density of damaging forest pests in the country and an up-tick in wood pellet use. Our review focuses on three pest species likely to incur considerable change in northeastern US forests: emerald ash borer (Agrilus planipennis or EAB; an exotic, invasive species), hemlock woolly adelgid (Adelges tsugae Annand, or HWA; an exotic, invasive species), and southern pine beetle (Dendroctonus frontalis Zimmermann, or SPB, a native species). Our review finds that wood pellets are being recognized as phytosanitary in their final form and that the forest health opportunities for the use of salvaged wood exist are beginning to be acknowledged in the region. However, our results also indicate that the spread of pests is still possible in the feedstock pre-treatment supply chain, which have yet to be directly addressed in US-related scientific literature. Our review concludes that further research and action on the phytosanitary risks in the supply chain focus on individual pest species behavior during harvesting, on-site comminution of feedstock material, and local processing at facilities within USDA APHIS (United States Department of Agriculture Animal and Plant Health Inspection Service) quarantine zones for maximum mitigation. The results of these considerations can accrue benefits for forest health, mitigate the spread of forest pests, and support the use of an alternative energy to fossil fuels in a changing climate. © 2020 Elsevier B.V."
4,Microbial control of invasive forest pests with entomopathogenic fungi: A review of the current situation,"The health of the forestlands of the world is impacted by a number of insect pests and some of them cause significant damage with serious economic and environmental implications. Whether it is damage of the North American cypress aphid in South America and Africa, or the destruction of maple trees in North America by the Asian long horned beetle, invasive forest pests are a major problem in many parts of the world. Several studies explored microbial control opportunities of invasive forest pests with entomopathogenic bacteria, fungi, and viruses, and some are successfully utilized as a part of integrated forest pest management programs around the world. This manuscript discusses some invasive pests and the status of their microbial control around the world with entomopathogenic fungi. © 2019 by the authors."
5,A decision framework for hemlock woolly adelgid management: Review of the most suitable strategies and tactics for eastern Canada,"The invasive hemlock woolly adelgid (HWA) has decimated hemlock stands across much of the eastern United States, and presents a significant threat to all eastern hemlock in Canada across Ontario, Quebec, New Brunswick, Nova Scotia, and Prince Edward Island, especially since the recent detection of its widespread establishment in southwest Nova Scotia. The spread and rising infestation level and impacts of HWA in this region serve as a warning for forest managers across eastern Canada to develop appropriate management plans and priorities. The HWA decision framework presented here aims to prepare forest managers in eastern Canada for the decisions and challenges that they will face, from prevention, detection, and control, to hemlock ecosystem restoration and management program evaluation. We review the strategies and tactics that are currently available, that are being developed, and that show the most promise to date. Given the nature of HWA, the long-term outlook for eastern hemlock in Canada will likely feature HWA as a component of hemlock ecosystems across much of the region, necessitating a comprehensive, adaptive management program to mitigate its ecosystem consequences. © 2019"
6,The Asian chestnut gall wasp Dryocosmus kuriphilus: a global invader and a successful case of classical biological control,"Native to China, the Asian chestnut gall wasp, Dryocosmus kuriphilus (ACGW), was first found outside its native range in Japan and the Korean peninsula in the mid-twentieth century. After appearing in North America in 1974, it was found in Europe a few decades later. Since then, the gall wasp has spread throughout the distribution of chestnut in Europe. The ACGW’s discovery in North America and Europe elicited numerous studies to understand its invasive potential in these areas and how to control its spread and impact on chestnut production. Although endemic parasitoids responded positively to D. kuriphilus with low parasitism rates, the most effective management tactic has been classical biological control via the introduction of the parasitoid Torymus sinensis from its native range in China. This review summarizes the history of introduction, spread, and current distribution of D. kuriphilus, and highlights one of the most successful cases of classical biological control against a forest pest. © 2018, Springer-Verlag GmbH Germany, part of Springer Nature."
7,Evaluating adaptive management options for black ash forests in the face of emerald ash borer invasion,"The arrival and spread of emerald ash borer (EAB) across the western Great Lakes region has shifted considerable focus towards developing silvicultural strategies that minimize the impacts of this invasive insect on the structure and functioning of black ash (Fraxinus nigra) wetlands. Early experience with clearcutting in these forests highlighted the risks of losing ash to EAB from these ecosystems, with stands often retrogressing to marsh-like conditions with limited tree cover. Given these experiences and an urgency for increasing resilience to EAB, research efforts began in north-central Minnesota in 2009 followed by additional studies and trials in Michigan and Wisconsin to evaluate the potential for using regeneration harvests in conjunction with planting of replacement species to sustain forested wetland habitats after EAB infestations. Along with these more formal experiments, a number of field trials and demonstrations have been employed by managers across the region to determine effective ways for reducing the vulnerability of black ash forest types to EAB. This paper reviews the results from these recent experiences with managing black ash for resilience to EAB and describes the insights gained on the ecological functioning of these forests and the unique, foundational role played by black ash. © 2018 by the authors."
8,Canker and decline diseases caused by soil- and airborne Phytophthora species in forests and woodlands,"Most members of the oomycete genus Phytophthora are primary plant pathogens. Both soil- and airborne Phytophthora species are able to survive adverse environmental conditions with enduring resting structures, mainly sexual oospores, vegetative chlamydospores and hyphal aggregations. Soilborne Phytophthora species infect fine roots and the bark of suberized roots and the collar region with motile biflagellate zoospores released from sporangia during wet soil conditions. Airborne Phytophthora species infect leaves, shoots, fruits and bark of branches and stems with caducous sporangia produced during humid conditions on infected plant tissues and dispersed by rain and wind splash. During the past six decades, the number of previously unknown Phytophthora declines and diebacks of natural and semi-natural forests and woodlands has increased exponentially, and the vast majority of them are driven by introduced invasive Phytophthora species. Nurseries in Europe, North America and Australia show high infestation rates with a wide range of mostly exotic Phytophthora species. Planting of infested nursery stock has proven to be the main pathway of Phytophthora species between and within continents. This review provides insights into the history, distribution, aetiology, symptomatology, dynamics and impact of the most important canker, decline and dieback diseases caused by soil- and airborne Phytophthora species in forests and natural ecosystems of Europe, Australia and the Americas. © 2018 Naturalis Biodiversity Center & Westerdijk Fungal Biodiversity Institute."
9,The precarious state of a cultural keystone species: Tribal and biological assessments of the role and future of black ash,"Black ash (Fraxinus nigra Marsh.) plays a central role in several Native American teachings (including a Wabanaki creation story) and has long been used for basketry, yet relatively little is known about the species’ ecology. The recent and ongoing invasion of emerald ash borer (Agrilus planipennis Fairmaire), an invasive beetle killing millions of ash trees in eastern North America, threatens the future of black ash and the centuries-old basketry tradition. In recognition of the precarious state of this cultural keystone species, basketmakers, basket-tree harvesters, and researchers assembled to discuss traditional ecological knowledge and research advancements related to black ash. Here we provide an overview of basket-quality ash, synthesize current knowledge of black ash biology and ecology, and report findings from this successful tribal and scientific collaboration. Management recommendations were developed and future research needs outlined in hopes of sustaining an ecologically important tree species and maintaining a Native American tradition that has cultural and spiritual significance. © 2017, Society of American Foresters. All rights reserved."
10,Climate Analyses to Assess Risks from Invasive Forest Insects: Simple Matching to Advanced Models,"Purpose of Review: The number of invasive alien insects that adversely affect trees and forests continues to increase as do associated ecological, economic, and sociological impacts. Prevention strategies remain the most cost-effective approach to address the issue, but risk management decisions, particularly those affecting international trade, must be supported by scientifically credible pest risk assessments. Pest risk assessments typically include an evaluation of the suitability of the climate for pest establishment within an area of concern. A number of species distribution models have been developed to support those efforts, and these models vary in complexity from simple climate matching to mechanistic models. This review discusses the rationale for species distribution models and describes some common and influential approaches. Recent Findings: Species distribution models that use distributional records and environmental covariates are routinely applied when ecological information about a species of concern is limited, an all-too common situation for pest risk assessors. However, fundamental assumptions of the models may not always hold. Summary: A structured literature review suggests that many common species distribution models are not regularly applied to alien insects that may threaten trees and forests. For ten high-impact alien insect species that are invading North America, MaxEnt and CLIMEX were applied more often than other modeling approaches. Some impediments to model development and publication exist. More applications of species distribution models to forest insects are needed in the peer-reviewed literature to ensure the credibility of pest risk maps for regulatory decision making, to deepen understanding of the factors that dictate species’ distributions, and to better characterize uncertainties associated with these models. © 2017, Springer International Publishing AG (outside the USA)."
11,Beech bark disease in North America: Over a century of research revisited,"American beech (Fagus grandifolia) in the eastern United States and Canada has experienced more than a century of mortality under a steady expansion of disease agents collectively causing beech bark disease (BBD). In North America, BBD consists of insect (e.g., Cryptococcus fagisuga [beech scale] and Xylococculus betulae) and phytopathogenic fungal (Neonectria faginata and N. ditissima) components that can variously interact with host and environment to cause extensive aboveground mortality of beech (i.e., killing front stage). This heavy mortality causes cascading impacts on forest ecosystems, resulting in altered biotic and abiotic conditions in which BBD-inducted mortality persists at reduced levels (i.e., aftermath stage). New evidence suggests that in aftermath conditions, disease agents interact with each other and their environment in ways neither observed nor anticipated from earlier studies of initial disease onset. Previously unrecognized factors such as atmospheric pollution and nutrient imbalances may exacerbate tree susceptibility to this disease. A clearer understanding of BBD-related organisms and their behavior, disease progression and impacts, and interactions between biotic and abiotic factors is needed to support the development of management options aimed at ameliorating economic and ecological consequences of disease-induced forest change. We comprehensively review over a century of literature in order to clarify these aspects in forests newly- and chronically-affected by BBD. Furthermore, we discuss new concerns of a reemergence of heavy mortality in some aftermath forests and present critical knowledge gaps and key considerations to help inform future BBD research and management programs. © 2017 Elsevier B.V."
12,Effects of host variability on the spread of invasive forest diseases,"Biological invasions, resulting from deliberate and unintentional species transfers of insects, fungal and oomycete organisms, are a major consequence of globalization and pose a significant threat to biodiversity. Limiting damage by non-indigenous forest pathogens requires an understanding of their current and potential distributions, factors affecting disease spread, and development of appropriate management measures. In this review, we synthesize innate characteristics of invading organisms (notably mating system, reproduction type, and dispersal mechanisms) and key factors of the host population (namely host diversity, host connectivity, and host susceptibility) that govern spread and impact of invasive forest pathogens at various scales post-introduction and establishment. We examine spread dynamics for well-known invasive forest pathogens, Hymenoscyphus fraxineus (T. Kowalski) Baral, Queloz, Hosoya, comb. nov., causing ash dieback in Europe, and Cryphonectria parasitica, (Murr.) Barr, causing chestnut blight in both North America and Europe, illustrating the importance of host variability (diversity, connectivity, susceptibility) in their invasion success. While alien pathogen entry has proven difficult to control, and new biological introductions are indeed inevitable, elucidating the key processes underlying host variability is crucial for scientists and managers aimed at developing effective strategies to prevent future movement of organisms and preserve intact ecosystems. © 2017 by the authors."
13,The Natural Evolutionary Potential of Tree Populations to Cope with Newly Introduced Pests and Pathogens—Lessons Learned From Forest Health Catastrophes in Recent Decades,"Emerging diseases often originate from host shifts of introduced pests or pathogens. Genetic resistance of the host to such diseases might be limited or absent due to the lack of coevolutionary history. We review six examples of major disease outbreaks on native tree species caused by different introduced pests and pathogens that led to large ecological and economical losses. In all six cases, high tree mortality was observed in natural populations with some surviving individuals exhibiting varying levels of genetic resistance. The abundance and distribution of resistant individuals and the heritability of resistance traits varies substantially among the cases. While chestnut blight wilt combined with ink disease has virtually eliminated mature Castanea dentata trees from North America, other severe emerging diseases, such as the ash dieback, have left many surviving trees and genetic variation in resistance to such diseases has been documented. We argue that the evolutionary potential of tree species to respond to new emerging diseases should not be underestimated. However, the risk of increased levels of inbreeding and loss of genetic diversity caused by low population sizes is a major concern. Maintenance of broad genetic diversity is an important issue in conservation and forestry management. We expect that future research targeting the genetic background of biotic resistance towards emerging diseases and the role of endophytic communities in protecting trees will facilitate the informed and science-based guidance required to manage and maintain forests with high resilience. International cooperation on limiting disease spread and the provision of early invasive pest or pathogen detection systems are essential. © 2016, Springer International Publishing AG."
14,Ecological risks posed by emerald ash borer to riparian forest habitats: A review and problem formulation with management implications,"The exotic, invasive forest insect pest, emerald ash borer (EAB), is rapidly spreading throughout eastern North America and killing almost all ash trees in its path. The loss of ash from forest habitats could trigger a cascade of ecological effects on habitat quality and the biological communities associated with it. Riparian forest habitats serve critical and often unique functions because they can exert a disproportionate influence on the productivity of riparian soils and adjacent aquatic ecosystems, and can provide important residual habitats in human-influenced landscapes. When ash trees are present in riparian forests, the rapid loss of ash from EAB infestations could put those unique riparian forest functions at risk. The first step in assessing risks and predicting outcomes of threats to an ecosystem is to formulate predictions from existing knowledge. We briefly review the literature on riparian forest ecosystem function and the impacts of other insect pest species on riparian structure and functional processes, with an emphasis on the risks to nutrient subsidies from riparian forests to adjacent waters. We then present a problem formulation that predicts impacts of the loss of ash on riparian forests. We provide a theoretical bases for predicting that most adverse ecosystem effects will arise from reductions in high-quality leaf litter inputs as nutrient subsidies to consumer communities and from the large canopy openings as a result of the rapid loss of ash in riparian forests. Management guidelines to address these potential effects are suggested, but we recognize that actual, empirical studies to measure and assess the ecological impacts of EAB-induced loss of ash from riparian forests would greatly improve risk predictions and management responses. © 2015 Published by Elsevier B.V."
15,Theoretical framework for assessment of risks posed to Canadian forests by invasive insect species,"Climate warming is causing increases in severity of outbreaks and range expansion in a number of insect pests and diseases. Under these conditions, forest managers should choose the best silvicultural practices to optimize production of timber and ecosystem services, while reducing pest damage to tolerable levels. However, information on the short and long term impacts of key pests, such as mountain pine beetle (MPB) (Dendroctonus ponderosae Hopkins), especially when they occur outside their historical geographical range, is scarce and our ability to predict, pre-empt and react to problems is, therefore, limited. Here we propose a general framework to evaluate the risk and impacts of important forest insects in new habitats, and to identify information gaps when conducting risk assessments. The framework consists of four main steps. The first step of risk assessment under potential range expansion is to identify the factors that promote pest spread and colonization of new environments (hazard). A second step is to determine the area at risk and the potential economic impacts (exposure). The third step is to establish if the forest in the new habitat is susceptible to colonization and pest range expansion (vulnerability). The fourth and final step is to determine the options for risk communication and mitigation. We also illustrate the scope and application of this response framework to decision makers, using, as an example, the potential spread of MPB from its native habitats in BC and Alberta into the boreal forests of Canada, especially with regard to the forests of Quebec. © 2013 Elsevier B.V."
